Geno;Column;New_Col;Row;Rep;Trial;Batch ;Date;Day;Plant;YII;ETR;gs;E;Fo.Fm;Fv.Fm;PI;Fv.Fo;Chlo;PDLWP;Leafincl
BD L8 T13;1;1;1;1;WW;1;15/07/2024;1;1;0.587;17.6;67.7;0.688;0.37;0.63;2.947;2.648;59;-0.6;1
BD L8 T13;1;2;1;1;WW;1;15/07/2024;1;2;0.644;44.7;125.567;1.185;0.203;0.797;3.652;3.939;67.8;-0.5;1
BD L8 T13;1;3;1;1;WW;1;15/07/2024;1;3;0.448;26.167;78.7;0.835;0.221;0.779;3.741;3.607;62.4;-0.3;1
J1/14/19/4;1;1;2;1;WW;1;15/07/2024;1;1;0.609;42.467;26.933;0.344;0.178;0.822;4.371;4.617;57.1;-0.5;1
J1/14/19/4;1;2;2;1;WW;1;15/07/2024;1;2;0.688;41.8;56.4;0.652;0.172;0.828;5.344;4.81;62.9;-0.4;1
J1/14/19/4;1;3;2;1;WW;1;15/07/2024;1;3;0.598;53.867;100.8;1.054;0.199;0.802;5.304;4.12;66.7;-0.6;1
KR10;1;1;3;1;WW;1;15/07/2024;1;1;0.421;24.133;5.167;0.073;0.259;0.741;1.561;3.017;51.7;-0.4;1
KR10;1;2;3;1;WW;1;15/07/2024;1;2;0.479;55.367;23;0.326;0.17;0.83;5.528;4.939;63.7;-0.5;1
KR10;1;3;3;1;WW;1;15/07/2024;1;3;0.485;51.267;56.033;0.726;0.183;0.817;4.939;4.479;59.1;-0.4;1
203/63/6;1;1;4;1;WW;1;15/07/2024;1;1;0.393;44.633;30.833;0.451;0.194;0.806;3.556;4.177;61.1;-0.35;1
203/63/6;1;2;4;1;WW;1;15/07/2024;1;2;0.603;61.733;38.167;0.587;0.19;0.811;5.196;4.286;64.5;-0.3;1
203/63/6;1;3;4;1;WW;1;15/07/2024;1;3;0.534;47;47.067;0.763;0.202;0.798;5.057;3.979;65.5;-0.4;1
ZK L10 T1;1;1;5;1;WW;1;15/07/2024;1;1;0.597;63.233;47.633;0.749;0.172;0.828;6.941;4.834;63.4;-0.35;1
ZK L10 T1;1;2;5;1;WW;1;15/07/2024;1;2;0.514;33.333;57;0.908;0.177;0.823;5.174;4.652;60.2;-0.5;1
ZK L10 T1;1;3;5;1;WW;1;15/07/2024;1;3;0.61;29.3;35.9;0.561;0.173;0.828;6.083;4.859;61;-0.7;1
4/1//3;1;1;6;1;WW;1;15/07/2024;1;1;0.575;29.2;0.7;0.008;0.187;0.813;4.003;4.346;51.9;-0.5;1
4/1//3;1;2;6;1;WW;1;15/07/2024;1;2;0.695;41.2;42.5;0.414;0.171;0.829;4.447;4.844;55.7;-0.5;1
4/1//3;1;3;6;1;WW;1;15/07/2024;1;3;0.734;35.1;48.7;0.462;0.19;0.81;6.708;4.256;57.2;-0.6;1
J24/13/20/4;1;1;7;1;WW;1;15/07/2024;1;1;0.728;29;34.3;0.325;0.164;0.836;7.326;5.112;64.9;-0.6;1
J24/13/20/4;1;2;7;1;WW;1;15/07/2024;1;2;0.749;19.2;63.9;0.575;0.173;0.827;7.998;4.767;66.5;-0.55;1
J24/13/20/4;1;3;7;1;WW;1;15/07/2024;1;3;0.707;26.1;9;0.095;0.172;0.828;6.331;4.807;64.3;-0.6;1
E U /14;1;1;8;1;WW;1;15/07/2024;1;1;0.735;29.3;52.7;0.497;0.189;0.811;5.151;4.283;60.5;-0.6;1
E U /14;1;2;8;1;WW;1;15/07/2024;1;2;0.769;10;36.7;0.358;0.157;0.843;5.16;5.353;59.9;-0.5;1
E U /14;1;3;8;1;WW;1;15/07/2024;1;3;0.518;4.8;0.4;0.004;0.168;0.832;6.522;4.942;55.5;-0.7;1
3/71/1;1;1;9;1;WW;1;15/07/2024;1;1;0.65;22.1;27.5;0.268;0.185;0.815;3.988;4.419;56.9;-0.55;1
